province;red;green;blue;x;x
1;170;206;141;praaaa;x
2;246;53;236;praaab;x
3;158;246;132;praaac;x
4;213;166;207;praaad;x
5;76;236;245;praaae;x
6;149;196;254;praaaf;x
7;167;155;180;praaag;x
8;83;252;251;praaah;x
9;213;241;194;praaai;x
10;252;228;226;praaaj;x
11;90;233;184;praaak;x
12;214;239;162;praaal;x
13;173;176;247;praaam;x
14;243;69;199;praaan;x
15;148;249;114;praaao;x
16;169;254;248;praaap;x
17;74;227;239;praaaq;x
18;247;252;229;praaar;x
19;137;180;227;praaas;x
20;45;208;251;praaat;x
21;77;238;234;praaau;x
22;206;152;174;praaav;x
23;176;213;208;praaaw;x
24;251;198;117;praaax;x
25;210;238;228;praaay;x
26;80;216;207;praaaz;x
27;227;210;182;praaba;x
28;234;252;138;praabb;x
29;200;184;141;praabc;x
30;172;159;174;praabd;x
31;224;188;181;praabe;x
32;159;178;189;praabf;x
33;253;62;231;praabg;x
34;185;137;249;praabh;x
35;105;249;152;praabi;x
36;198;207;203;praabj;x
37;185;213;200;praabk;x
38;82;198;240;praabl;x
39;235;240;88;praabm;x
40;191;249;83;praabn;x
41;222;222;204;praabo;x
42;251;251;137;praabp;x
43;208;107;239;praabq;x
44;247;237;164;praabr;x
45;248;234;232;praabs;x
46;188;173;159;praabt;x
47;205;244;206;praabu;x
48;183;164;245;praabv;x
49;206;188;201;praabw;x
50;232;199;97;praabx;x
51;184;239;211;praaby;x
52;99;216;207;praabz;x
53;130;226;175;praaca;x
54;83;226;206;praacb;x
55;193;124;246;praacc;x
56;164;199;224;praacd;x
57;205;206;167;praace;x
58;79;231;248;praacf;x
59;221;66;216;praacg;x
60;248;101;177;praach;x
61;183;229;136;praaci;x
62;219;96;207;praacj;x
63;147;197;248;praack;x
64;161;223;251;praacl;x
65;239;251;97;praacm;x
66;243;239;148;praacn;x
67;215;116;187;praaco;x
68;149;239;182;praacp;x
69;236;202;196;praacq;x
70;155;242;196;praacr;x
71;253;139;122;praacs;x
72;187;230;134;praact;x
73;102;248;252;praacu;x
74;54;224;242;praacv;x
75;178;135;209;praacw;x
76;200;73;250;praacx;x
77;183;223;139;praacy;x
78;236;88;195;praacz;x
79;244;170;214;praada;x
80;108;247;243;praadb;x
81;158;129;226;praadc;x
82;164;149;249;praadd;x
83;190;151;190;praade;x
84;225;148;137;praadf;x
85;127;155;224;praadg;x
86;25;229;250;praadh;x
87;163;233;181;praadi;x
88;167;146;242;praadj;x
89;109;200;240;praadk;x
90;206;171;208;praadl;x
91;201;244;190;praadm;x
92;94;238;188;praadn;x
93;129;210;173;praado;x
94;140;221;213;praadp;x
95;137;197;167;praadq;x
96;230;123;240;praadr;x
97;239;144;241;praads;x
98;204;232;129;praadt;x
99;233;203;143;praadu;x
100;64;214;243;praadv;x
101;253;129;149;praadw;x
102;124;237;250;praadx;x
103;190;130;224;praady;x
104;133;186;202;praadz;x
105;225;202;231;praaea;x
106;228;234;90;praaeb;x
107;110;222;249;praaec;x
108;167;187;218;praaed;x
109;212;218;236;praaee;x
110;185;189;239;praaef;x
111;231;172;249;praaeg;x
112;196;231;232;praaeh;x
113;170;254;107;praaei;x
114;183;174;193;praaej;x
115;208;240;166;praaek;x
116;235;125;251;praael;x
117;189;109;210;praaem;x
118;253;77;203;praaen;x
119;110;200;246;praaeo;x
120;47;242;235;praaep;x
121;193;225;172;praaeq;x
122;153;243;218;praaer;x
123;147;254;134;praaes;x
124;225;204;88;praaet;x
125;167;231;254;praaeu;x
126;216;168;160;praaev;x
127;200;244;135;praaew;x
128;96;191;230;praaex;x
129;126;175;231;praaey;x
130;176;205;208;praaez;x
131;203;101;203;praafa;x
132;234;229;49;praafb;x
133;127;228;221;praafc;x
134;47;246;236;praafd;x
135;203;126;184;praafe;x
136;76;184;251;praaff;x
137;56;202;252;praafg;x
138;157;231;157;praafh;x
139;243;228;168;praafi;x
140;153;233;192;praafj;x
141;63;235;220;praafk;x
142;220;209;105;praafl;x
143;104;215;241;praafm;x
144;210;252;220;praafn;x
145;197;145;219;praafo;x
146;178;246;194;praafp;x
147;110;251;185;praafq;x
148;184;235;124;praafr;x
149;122;253;204;praafs;x
150;235;128;225;praaft;x
151;249;64;213;praafu;x
152;201;67;249;praafv;x
153;114;207;217;praafw;x
154;169;219;182;praafx;x
155;197;244;136;praafy;x
156;215;189;162;praafz;x
157;109;220;252;praaga;x
158;228;236;146;praagb;x
159;247;151;161;praagc;x
160;190;209;130;praagd;x
161;243;165;212;praage;x
162;254;144;198;praagf;x
163;79;219;224;praagg;x
164;183;226;181;praagh;x
165;177;218;142;praagi;x
166;99;171;234;praagj;x
167;254;116;172;praagk;x
168;243;169;99;praagl;x
169;235;190;243;praagm;x
170;148;181;228;praagn;x
